A list of Notes, their frequencies (by basing on A4 = 440 Hz) and conversion into milliseconds.

Note: C 1, Frequency: 32.703 Hz, Time: 30.5780515 ms
Note: D#4, Frequency: 311.127 Hz, Time: 3.2141217 ms
Note: E 4, Frequency: 329.628 Hz, Time: 3.0337269 ms
Note: F 4, Frequency: 349.228 Hz, Time: 2.8634569 ms
Note: F#4, Frequency: 369.994 Hz, Time: 2.7027434 ms
Note: G 4, Frequency: 391.995 Hz, Time: 2.5510501 ms
Note: G#4, Frequency: 415.305 Hz, Time: 2.4078707 ms
Note: A 4, Frequency: 440.000 Hz, Time: 2.2727273 ms
Note: A#4, Frequency: 466.164 Hz, Time: 2.1451689 ms
Note: B 4, Frequency: 493.883 Hz, Time: 2.0247698 ms
Note: C 5, Frequency: 523.251 Hz, Time: 1.9111282 ms
Note: C#5, Frequency: 554.365 Hz, Time: 1.8038648 ms
Note: D 5, Frequency: 587.330 Hz, Time: 1.7026217 ms
Note: D#5, Frequency: 622.254 Hz, Time: 1.6070609 ms
Note: E 5, Frequency: 659.255 Hz, Time: 1.5168635 ms
Note: F 5, Frequency: 698.456 Hz, Time: 1.4317285 ms
Note: F#5, Frequency: 739.989 Hz, Time: 1.3513717 ms
Note: G 5, Frequency: 783.991 Hz, Time: 1.2755251 ms
Note: G#5, Frequency: 830.609 Hz, Time: 1.2039353 ms
Note: A 5, Frequency: 880.000 Hz, Time: 1.1363636 ms
Note: A#5, Frequency: 932.328 Hz, Time: 1.0725844 ms
Note: B 5, Frequency: 987.767 Hz, Time: 1.0123849 ms
Note: C 6, Frequency: 1046.502 Hz, Time: 0.9555641 ms
Note: C#6, Frequency: 1108.731 Hz, Time: 0.9019324 ms
Note: D 6, Frequency: 1174.659 Hz, Time: 0.8513108 ms
Note: D#6, Frequency: 1244.508 Hz, Time: 0.8035304 ms
Note: E 6, Frequency: 1318.510 Hz, Time: 0.7584317 ms
Note: F 6, Frequency: 1396.913 Hz, Time: 0.7158642 ms
Note: F#6, Frequency: 1479.978 Hz, Time: 0.6756859 ms
Note: G 6, Frequency: 1567.982 Hz, Time: 0.6377625 ms
Note: G#6, Frequency: 1661.219 Hz, Time: 0.6019677 ms
Note: A 6, Frequency: 1760.000 Hz, Time: 0.5681818 ms
Note: A#6, Frequency: 1864.655 Hz, Time: 0.5362922 ms
Note: B 6, Frequency: 1975.533 Hz, Time: 0.5061925 ms
Note: C 7, Frequency: 2093.005 Hz, Time: 0.4777821 ms
Note: C#7, Frequency: 2217.461 Hz, Time: 0.4509662 ms
Note: D 7, Frequency: 2349.318 Hz, Time: 0.4256554 ms
Note: D#7, Frequency: 2489.016 Hz, Time: 0.4017652 ms
Note: E 7, Frequency: 2637.020 Hz, Time: 0.3792159 ms
Note: F 7, Frequency: 2793.826 Hz, Time: 0.3579321 ms
Note: F#7, Frequency: 2959.955 Hz, Time: 0.3378429 ms
Note: G 7, Frequency: 3135.963 Hz, Time: 0.3188813 ms
Note: G#7, Frequency: 3322.438 Hz, Time: 0.3009838 ms
Note: A 7, Frequency: 3520.000 Hz, Time: 0.2840909 ms
Note: A#7, Frequency: 3729.310 Hz, Time: 0.2681461 ms
Note: B 7, Frequency: 3951.066 Hz, Time: 0.2530962 ms
Note: C 8, Frequency: 4186.009 Hz, Time: 0.2388910 ms
Note: C#8, Frequency: 4434.922 Hz, Time: 0.2254831 ms
Note: D 8, Frequency: 4698.636 Hz, Time: 0.2128277 ms
Note: D#8, Frequency: 4978.032 Hz, Time: 0.2008826 ms
Note: E 8, Frequency: 5274.041 Hz, Time: 0.1896079 ms
Note: F 8, Frequency: 5587.652 Hz, Time: 0.1789661 ms
Note: F#8, Frequency: 5919.911 Hz, Time: 0.1689215 ms
Note: G 8, Frequency: 6271.927 Hz, Time: 0.1594406 ms
Note: G#8, Frequency: 6644.875 Hz, Time: 0.1504919 ms
Note: A 8, Frequency: 7040.000 Hz, Time: 0.1420455 ms
Note: A#8, Frequency: 7458.620 Hz, Time: 0.1340731 ms
Note: B 8, Frequency: 7902.133 Hz, Time: 0.1265481 ms
